PartNo,PartName,User,Supplier,Date,SupplierQuote,Rec,SettledPrice
1254,across,Jimmy Sullivan,Newman-Booth,2023-05-13,199.97,120.21,151.84
1159,technology,Katherine Williams,Smith Group,2023-03-14,94.32,61.98,69.28
9553,several,Steven Rios,"Anderson, Wall and Walker",2023-06-08,455.97,316.95,364.71
8074,hit,Jonathan Elliott,Fritz Ltd,2022-09-05,183.58,125.15,140.61
8717,rate,James Gutierrez,Sawyer-House,2023-06-07,499.75,339.95,383.89
2668,course,David Mendoza,Roberts-Davis,2023-05-28,395.63,259.17,294.46
3059,per,Samuel Taylor,Anderson-West,2022-10-15,157.73,97.98,122.1
8499,box,Dawn Huber,Thomas and Sons,2023-07-27,135.43,83.1,95.5
6287,suffer,Kelly Adams,Ferguson and Sons,2023-02-25,409.43,268.01,290.97
1603,turn,Joy Lee,Harding and Sons,2023-08-22,461.18,286.55,368.51
3237,level,Hannah Ross,Peterson-Green,2023-06-01,291.6,181.92,211.95
8477,bank,Mike Copeland,Fisher-Parks,2022-10-14,212.25,128.51,160.35
3321,upon,Nathaniel Diaz,Brown Ltd,2022-11-05,226.73,148.82,159.59
7832,produce,Destiny Williamson,Ibarra-Chavez,2023-06-02,129.96,86.73,99.63
8234,people,Hannah Haney,Butler LLC,2022-10-01,325.79,223.76,254.23
5920,actually,Jack Landry,Murray-Roberts,2022-09-19,264.8,177.73,206.63
9623,police,Jessica Conley,Soto PLC,2023-01-17,434.14,298.46,338.35
8397,investment,Katherine Garcia,Sanders-Ramos,2022-12-25,331.17,209.11,239.05
9722,loss,Angela Jones,Parker-George,2023-01-05,224.61,136.15,176.11
3069,director,Jason Harrison,"Dawson, Roberts and Ramirez",2023-04-03,402.14,248.82,296.14
4391,third,Andre Clark,Davis Group,2023-08-09,153.77,97.2,108.63
4129,add,Edward Martinez,"Martinez, Torres and Ibarra",2023-02-02,80.58,54.93,62.62
8960,way,Alison Hooper,Velez Inc,2023-01-08,126.8,78.41,94.82
9355,guy,Chad Gregory,Taylor and Sons,2022-11-20,308.57,198.64,233.69
9016,school,Sylvia Hammond,Fritz Ltd,2022-09-20,477.32,310.99,374.29
1226,wind,Michelle Mata,Byrd-Terry,2023-04-29,110.32,68.07,78.24
5883,threat,Ana Burgess,"Carter, Snyder and Wells",2022-09-06,391.74,237.02,280.37
4974,surface,Sandy Jenkins,"Smith, Strickland and Patterson",2023-02-15,199.06,127.5,139.54
2875,admit,Blake Smith,Jackson and Sons,2022-11-03,247.68,159.0,193.48
1871,traditional,Ashley Obrien,Davidson-Mcgee,2023-07-17,421.34,264.94,311.36
4423,record,Robert Carter,Miller Inc,2023-04-01,143.41,96.13,112.44
4777,as,Daniel White,Mccormick PLC,2022-08-30,442.76,278.42,347.91
3013,matter,Ashley Sanchez,"Bradford, Frey and Jones",2022-12-10,467.75,288.29,347.7
1310,outside,Megan Lopez,Miller-Carroll,2023-03-05,198.81,124.14,142.69
8098,explain,Felicia Atkins,Thomas-Kaiser,2023-02-04,120.75,80.95,91.65
2581,wait,Tyler Allison Jr.,"Mitchell, Morrow and Castillo",2022-10-31,93.12,61.21,72.93
